Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1991,Masculino,2,Si,No,Ninguno,Universitaria,"Autodidacta, Cursos, Universidad",Artista Creador,SI,2008,Artes plásticas,4dec5e2e-44a3-4f45-a893-f2e06668d442,2021,Tibasosa,"-72,999449","5,74723",Sugamuxi,No,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1980,Masculino,3,No,No,Ninguno,Especialista,"Autodidacta, Cursos, Clases particulares",Artista Creador,SI,2017,Música,6afd9788-872a-418a-a745-60d77d7debc9,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,Sí,Porvenir,Ecoopsos,Subsidiado
Cedula de Ciudadanía,2021,Femenino,3,Si,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2004,Música,d83270c7-3e71-4c3b-b4b0-bb7141f7024c,2021,Villa De Leyva,"-73,524948","5,632455",Ricaurte,Sí,Colpensiones,Sura,Contributivo
Cedula de Ciudadanía,1990,Masculino,3,No,No,Mestizos,Universitaria,Universidad,Artista Creador,NO,2014,Artes plásticas,c3aa8eeb-b1f4-4713-b171-46990c4144a5,2021,Tunja,"-73,355539","5,53988",Centro,No,Positiva,Nueva EPS,Contributivo
Cedula de Ciudadanía,1985,Masculino,2,No,No,Ninguno,Técnica,Universidad,Artista Creador,SI,2002,Artes plásticas,bf07ca39-64b5-4273-82c0-8617c72b48f3,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Sanitas,Contributivo
Cedula de Ciudadanía,1979,Femenino,2,Si,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos",Gestor Cultural,NO,2007,Literatura,f688a2ba-5f02-472c-9886-c3d5971b2acb,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1990,Masculino,2,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2008,Danza,e738f107-b3a2-4b13-99e2-eb0a0b3dfed4,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,No,Otro,Nueva EPS,Contributivo
Cedula de Ciudadanía,1997,Masculino,1,No,No,Ninguno,Técnica,Clases particulares,Cantante,SI,2009,Música,71c0c91d-6028-4ae9-b56d-ec6b2b0870a3,2021,Chiquinquirá,"-73,818745","5,61379",Occidente,Sí,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1989,Femenino,4,Si,No,Ninguno,Magister,Universidad,Artista Formador,SI,2013,Artes plásticas,8037129b-6ee3-41db-9254-c2081014b0b4,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Nueva EPS,Contributivo
Cedula de Ciudadanía,1964,Femenino,2,Si,No,Ninguno,Secundaria,Talleres,Gestor Cultural,SI,2010,Emprendimiento Cultural,2e46f71f-3f54-4fc8-897a-4b40d7b39d60,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,No,BEPS,Otra / No clasificada,Subsidiado
Cedula de Ciudadanía,1985,Masculino,3,Si,No,Ninguno,Secundaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Productor,SI,1994,Música,10f2299a-d03d-4552-ba4e-07c6df65664e,2021,Tunja,"-73,355539","5,53988",Centro,No,Colfondos,Medimás,Contributivo
Cedula de Ciudadanía,1981,Masculino,2,Si,No,Mestizos,Tecnológica,"Talleres, Cursos, Universidad",Gestor Cultural,SI,2001,Música,519e9b9d-77b0-494a-9e2a-88a25ab3bf67,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Otro,Famisanar,Contributivo
Cedula de Ciudadanía,1974,Femenino,2,Si,No,Ninguno,Secundaria,Autodidacta,Artista Creador,SI,2011,Literatura,43bdde99-fdba-468f-8104-73424619dbb7,2021,San Eduardo,"-73,077747","5,22401",Lengupá,No,Sin pensión,Coosalud,Contributivo
Cedula de Ciudadanía,1979,Masculino,2,Si,No,Ninguno,Técnica,"Autodidacta, Talleres",Artista Creador,SI,1999,Artes plásticas,90cae413-80cb-4446-bca3-7c70f18cbfa0,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1982,Femenino,3,Si,No,Ninguno,Especialista,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Artista Formador,SI,2013,Gestor Cultural,b0a5d37e-8b35-4ea9-9c94-65d6a4dda531,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Coosalud,Contributivo
Cedula de Ciudadanía,1998,Femenino,2,No,No,Ninguno,Universitaria,"Autodidacta, Universidad",Traductora,NO,2020,Opción 10,d94a6376-35dc-4702-9924-a222e94bb527,2021,Cucaita,"-73,454338","5,544452",Centro,No,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1965,Masculino,5,Si,No,Ninguno,Especialista,Universidad,Artista Creador,NO,2010,Artes plásticas,bc5e9a74-5b4e-41ab-8b3f-db9487943072,2021,Tunja,"-73,355539","5,53988",Centro,No,Colpensiones,Compensar,Contributivo
Cedula de Ciudadanía,1966,Masculino,3,No,No,Ninguno,Tecnológica,Autodidacta,Interprete,NO,2020,Teatro,ae68ec36-e5f0-487b-bf8e-bfda8cc977e4,2021,Tunja,"-73,355539","5,53988",Centro,No,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1996,Femenino,3,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Clases particulares, Universidad",Interprete,SI,2013,Música,38d7965d-4efa-401b-86ca-bd2914e56861,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1994,Masculino,3,No,No,Ninguno,Secundaria,Autodidacta,Artista Creador,SI,2018,Artes plásticas,2be261d0-9ee1-4564-9dd5-374b12801c06,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Otro,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1986,Masculino,2,Si,No,Ninguno,Universitaria,Universidad,Artista Creador,NO,2012,Artes plásticas,d0a0dd71-69bd-4325-b865-1f20cadcaae2,2021,Boyacá,"-73,361945","5,454578",Márquez,No,Otro,Otra / No clasificada,Subsidiado
Cedula de Ciudadanía,1996,Femenino,2,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Universidad",Artista Creador,SI,2013,Cinematografía,f9d01345-257c-414d-82a8-5613b3f04ea4,2021,Sogamoso,"-72,924355","5,723976",Sugamuxi,Sí,Sin pensión,Medimás,Subsidiado
Cedula de Ciudadanía,1999,Masculino,3,No,No,Ninguno,Especialista,"Clases particulares, Universidad",CANTANTE,SI,2001,Música,70c29229-4646-44fb-87d4-3e46f7f0d5f7,2021,Duitama,"-73,03063","5,822964",Tundama,No,Colpatria,Sanitas,Contributivo
Cedula de Ciudadanía,1980,Masculino,2,Si,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2002,Cinematografía,ba797064-5a3f-4664-8f3c-c4c88cc91d86,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Otro,Nueva EPS,Contributivo
